DATAFLOW,FREQ,INDICATOR,GEO_PICT,SEX,AGE,URBANIZATION,INCOME,EDUCATION,OCCUPATION,COMPOSITE_BREAKDOWN,DISABILITY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,REPORTING_TYPE,NATURE,DATA_SOURCE,OBS_STATUS,OBS_COMMENT
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2000,94.82,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2001,94.84,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2002,94.87,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2003,94.89,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2004,94.91,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2005,94.94,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2006,94.96,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2007,94.98,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2008,95.01,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2009,95.04,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2010,95.08,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2011,95.11,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2012,95.14,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2013,95.18,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2014,95.21,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2015,95.24,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2016,95.28,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2017,95.31,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2018,95.35,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2019,95.38,PERCENT,G,_X,,,
SPC:DF_SDG_06(3.0),A,SH_H2O_SAFE,FJ,_T,_T,_T,_T,_T,_T,_Z,_T,2020,95.42,PERCENT,G,_X,,,
